City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
najibabad,IN,90.79,56,97,3.22,29.6333,78.3333,1659009839
shingu,JP,78.1,92,59,4.45,33.7333,135.9833,1659009839
srednekolymsk,RU,48.6,61,6,14.43,67.45,153.6833,1659009840
castro,BR,63.9,66,67,5.1,-24.7911,-50.0119,1659009840
sitka,US,57.09,88,100,9.22,57.0531,-135.33,1659009840
lubao,PH,80.98,86,100,4.59,14.9167,120.55,1659009840
nikolskoye,RU,71.87,42,74,5.61,59.7035,30.7861,1659009841
singkang,MY,78.03,87,100,3.44,2.1006,102.7994,1659009841
bengkulu,ID,79.95,79,74,1.5,-3.8004,102.2655,1659009841
huaral,PE,59.9,83,83,1.83,-11.495,-77.2078,1659009841
pitimbu,BR,77.85,77,29,13.67,-7.4706,-34.8086,1659009841
iranshahr,IR,95.0,37,95,4.74,27.2025,60.6848,1659009673
mar del plata,AR,49.87,94,100,15.99,-38.0023,-57.5575,1659009698
port hedland,AU,66.25,72,0,4.61,-20.3167,118.5667,1659009842
walvis bay,NA,57.09,61,0,11.56,-22.9575,14.5053,1659009729
nova vodolaha,UA,84.2,44,13,8.57,49.7185,35.8708,1659009842
bowmore,US,82.89,84,0,11.5,34.9421,-79.3031,1659009842
bull savanna,JM,75.56,80,4,4.83,17.8868,-77.5902,1659009842
sioux lookout,CA,51.67,94,100,7.38,50.1001,-91.917,1659009842
kenai,US,54.14,80,57,4.54,60.5544,-151.2583,1659009843
maarianhamina,AX,62.46,48,40,13.8,60.0973,19.9348,1659009843
akhisar,TR,105.62,12,0,10.51,38.9185,27.8401,1659009763
kapaa,US,73.38,94,79,8.72,22.0752,-159.319,1659009787
yerbogachen,RU,71.06,92,73,3.78,61.2767,108.0108,1659009843
aleksandrovka,UA,93.83,23,33,8.03,46.8383,32.7612,1659009843
georgetown,MY,86.9,76,20,6.91,5.4112,100.3354,1659009843
akonolinga,CM,76.62,80,93,5.21,3.7667,12.25,1659009844
grand-santi,GF,76.66,90,86,1.16,4.25,-54.3833,1659009844
batsfjord,NO,49.78,87,75,29.93,70.6345,29.7185,1659009845
biak,ID,75.42,87,95,6.2,-0.9131,122.8766,1659009845
coihueco,CL,39.52,74,0,3.83,-36.6167,-71.8333,1659009845
lingao,CN,83.93,74,33,4.52,19.9103,109.6859,1659009845
nanortalik,GL,44.31,81,74,6.08,60.1432,-45.2371,1659009845
ilo,PE,59.23,81,42,7.07,-17.6394,-71.3375,1659009845
nokaneng,BW,82.58,16,0,8.48,-19.6667,22.2667,1659009846
rio gallegos,AR,36.3,72,100,18.16,-51.6226,-69.2181,1659009648
smithers,CA,60.21,84,0,2.57,54.7804,-127.1743,1659009846
uni,RU,73.92,51,6,4.76,57.7535,51.4923,1659009846
hovd,MN,72.32,32,49,2.82,48.0056,91.6419,1659009846
mizan teferi,ET,75.33,53,98,2.33,6.9833,35.5833,1659009846
eureka,US,58.68,91,51,2.77,40.8021,-124.1637,1659009694
constitucion,CL,46.54,83,0,7.52,-35.3333,-72.4167,1659009820
sept-iles,CA,66.06,76,60,4.0,50.2001,-66.3821,1659009847
bahia blanca,AR,40.5,89,1,6.6,-38.7196,-62.2724,1659009831
solnechnyy,RU,68.25,95,100,3.65,50.7214,136.6319,1659009847
guanay,BO,67.84,74,37,1.45,-15.4975,-67.8797,1659009847
quesnel,CA,62.96,66,0,1.97,52.9999,-122.5029,1659009847
airai,TL,55.58,91,74,4.34,-8.9266,125.4092,1659009847
mandali,IQ,112.68,5,0,19.46,33.7499,45.5541,1659009847
tasiilaq,GL,41.16,92,100,6.8,65.6145,-37.6368,1659009848
butaritari,KI,81.95,77,100,15.32,3.0707,172.7902,1659009848
longyearbyen,SJ,42.64,81,75,21.85,78.2186,15.6401,1659009848
morant bay,JM,80.22,80,38,4.74,17.8815,-76.4093,1659009848
jamame,SO,82.47,54,39,15.68,0.0722,42.7506,1659009848
khani,GE,76.57,45,0,5.7,41.9563,42.9566,1659009848
nizhnevartovsk,RU,69.82,56,0,7.0,60.9344,76.5531,1659009619
flin flon,CA,51.58,75,6,5.35,54.7682,-101.865,1659009849
wajima,JP,77.68,89,2,9.33,37.4,136.9,1659009849
severo-kurilsk,RU,51.75,93,24,5.84,50.6789,156.125,1659009849
inta,RU,78.33,33,83,11.61,66.0317,60.1659,1659009849
shimoda,JP,79.11,90,63,3.18,34.6667,138.95,1659009849
lagoa,PT,71.71,82,2,7.18,39.05,-27.9833,1659009597
komsomolskiy,UZ,97.52,20,7,11.5,40.4272,71.7189,1659009850
narsaq,GL,52.02,52,5,2.57,60.9167,-46.05,1659009850
geraldton,AU,59.41,88,35,5.75,-28.7667,114.6,1659009850
santa maria,BR,66.79,81,99,3.74,-29.6842,-53.8069,1659009850
baghmara,IN,92.12,50,100,2.55,23.795,86.2085,1659009850
narok,KE,68.29,57,92,7.99,-1.0783,35.8601,1659009851
george,ZA,67.39,53,0,3.33,-33.963,22.4617,1659009851
qandala,SO,94.37,43,29,5.5,11.472,49.8728,1659009851
novyy urengoy,RU,70.88,47,56,11.77,66.0833,76.6333,1659009764
chapais,CA,64.18,90,93,5.08,49.7834,-74.8492,1659009851
taman,RU,80.74,55,0,9.31,45.2117,36.7161,1659009851
vardo,NO,49.98,87,75,25.32,70.3705,31.1107,1659009851
namibe,AO,70.43,60,84,11.41,-15.1961,12.1522,1659009852
san pedro de macoris,DO,75.33,83,11,8.77,18.4616,-69.2972,1659009852
sobolevo,RU,67.73,60,89,10.16,54.4299,31.8996,1659009852
verkhniy lomov,RU,82.26,48,37,6.76,53.4678,43.5511,1659009852
palmer,US,73.47,89,46,3.51,42.1584,-72.3287,1659009852
mucuri,BR,72.1,76,49,4.36,-18.0864,-39.5508,1659009853
carballo,ES,71.02,58,97,5.37,43.213,-8.691,1659009853
kropotkin,RU,91.63,25,0,1.41,45.4375,40.5756,1659009853
seoul,KR,85.39,63,17,1.14,37.5683,126.9778,1659009631
shahr-e kord,IR,83.97,34,75,4.61,32.3256,50.8644,1659009853
esperance,AU,60.73,49,57,11.99,-33.8667,121.9,1659009853
tomatlan,MX,72.88,95,66,3.22,19.9333,-105.25,1659009853
jutai,BR,75.06,85,22,2.44,-5.1833,-68.9,1659009853
fort nelson,CA,60.3,87,59,1.97,58.8053,-122.7002,1659009853
ponta do sol,PT,80.71,69,0,1.77,32.6667,-17.1,1659009854
heyang,CN,71.38,94,95,1.92,26.1011,107.473,1659009854
waynesville,US,73.11,80,21,1.99,35.4887,-82.9887,1659009854
ambulu,ID,76.21,82,31,6.67,-8.345,113.6058,1659009854
nome,US,44.62,86,53,6.26,64.5011,-165.4064,1659009701
okha,RU,55.02,96,32,11.41,53.5739,142.9478,1659009855
springbok,ZA,64.49,20,0,20.09,-29.6643,17.8865,1659009855
ibra,OM,88.52,48,82,10.63,22.6906,58.5334,1659009855
hamilton,US,74.91,93,0,4.61,39.1834,-84.5333,1659009855
carbondale,US,74.05,97,0,4.61,37.7273,-89.2168,1659009855
houma,US,78.01,93,0,5.75,29.5958,-90.7195,1659009616
qui nhon,VN,82.22,83,88,3.85,13.7667,109.2333,1659009855
kitgum,UG,78.53,63,59,5.7,3.2783,32.8867,1659009855
alofi,NU,76.37,75,49,24.87,-19.0595,-169.9187,1659009856
americus,US,77.13,88,0,0.0,32.0724,-84.2327,1659009856
nouadhibou,MR,78.53,57,30,18.25,20.931,-17.0347,1659009856
nyurba,RU,75.06,71,27,5.7,63.2842,118.3319,1659009856
nabire,ID,77.0,89,67,2.08,-3.3667,135.4833,1659009857
puerto quijarro,BO,76.12,37,1,1.59,-17.7833,-57.7667,1659009857
puerto escondido,MX,76.19,85,80,4.21,15.85,-97.0667,1659009857
codrington,AU,46.02,79,60,5.79,-38.2667,141.9667,1659009857
poronaysk,RU,55.4,97,21,5.82,49.2167,143.1167,1659009616
teahupoo,PF,67.96,76,35,25.9,-17.8333,-149.2667,1659009858
bethal,ZA,69.55,25,0,5.82,-26.4579,29.4655,1659009858
itarantim,BR,71.28,68,26,2.8,-15.6597,-40.0656,1659009858
tala,EG,104.23,10,0,6.31,30.6803,30.9429,1659009858
tulle,FR,75.99,32,88,4.59,45.3333,1.8333,1659009858
hajipur,IN,93.18,66,40,0.0,25.6833,85.2167,1659009859
port elizabeth,ZA,76.1,76,2,11.01,-33.918,25.5701,1659009820
benguela,AO,74.93,72,93,8.46,-12.5763,13.4055,1659009859
tuatapere,NZ,43.75,92,100,5.88,-46.1333,167.6833,1659009859
havelock,US,84.18,86,78,5.99,34.8791,-76.9013,1659009859
kourou,GF,77.05,83,80,3.83,5.1552,-52.6478,1659009859
hualmay,PE,60.08,87,54,7.4,-11.0964,-77.6139,1659009860
zelenets,RU,79.05,32,8,6.26,61.8849,50.7489,1659009860
flinders,AU,55.18,82,67,4.0,-34.5833,150.8552,1659009860
carupano,VE,78.73,84,35,4.47,10.6678,-63.2585,1659009860
egvekinot,RU,40.86,84,100,4.83,66.3167,-179.1667,1659009860
rockport,US,85.05,85,40,4.61,28.0206,-97.0544,1659009861
masuguru,TZ,88.92,27,20,5.14,-11.3667,38.4167,1659009861
asau,RO,78.28,52,94,5.01,46.4333,26.4,1659009861
priiskovyy,RU,61.02,77,73,3.22,51.9333,116.6333,1659009861
salalah,OM,76.21,93,100,9.8,17.0151,54.0924,1659009666
mahebourg,MU,74.25,74,21,11.52,-20.4081,57.7,1659009861
atambua,ID,69.62,82,59,8.03,-9.1061,124.8925,1659009861
baculin,PH,80.22,86,99,10.33,7.4525,126.5842,1659009862
minab,IR,90.97,65,81,14.34,27.1467,57.0801,1659009814
lososina,RU,60.33,96,68,3.15,48.9975,140.3106,1659009862
san juan del sur,NI,76.28,87,94,10.51,11.2529,-85.8705,1659009862
cayenne,GF,77.04,94,20,2.3,4.9333,-52.3333,1659009862
masyaf,SY,99.19,17,0,14.07,35.0653,36.3406,1659009862
gijon,ES,77.45,69,61,4.0,43.5357,-5.6615,1659009837
grandview,US,73.98,96,100,6.91,38.8858,-94.533,1659009862
olafsvik,IS,49.86,80,100,15.59,64.8945,-23.7142,1659009862
gore,NZ,41.56,97,100,4.7,-46.1028,168.9436,1659009652
husavik,IS,57.15,54,29,17.38,66.0449,-17.3389,1659009863
katsuura,JP,79.75,91,93,10.45,35.1333,140.3,1659009863
ponta delgada,PT,78.49,64,20,13.8,37.7333,-25.6667,1659009863
hami,CN,100.04,7,1,21.7,42.8,93.45,1659009810
wanning,CN,82.83,78,72,5.75,18.8003,110.3967,1659009863
los llanos de aridane,ES,73.15,84,20,20.71,28.6585,-17.9182,1659009864
norman wells,CA,52.61,87,100,0.98,65.282,-126.8329,1659009864
muros,ES,76.15,75,81,7.7,42.7762,-9.0603,1659009662
saint-pierre,RE,76.68,66,75,10.36,-21.3393,55.4781,1659009864
vanavara,RU,69.15,76,100,6.73,60.34,102.2797,1659009609
ulaangom,MN,70.77,40,84,3.04,49.9811,92.0667,1659009864
ashford,GB,71.74,56,100,5.01,51.1459,0.8728,1659009806
nagutskoye,RU,82.62,33,0,5.95,44.4415,42.8762,1659009864
normandin,CA,66.72,74,65,4.94,48.8333,-72.5321,1659009865
basoko,CD,82.6,67,85,5.57,1.2391,23.616,1659009865
aykhal,RU,81.66,57,56,5.48,66.0,111.5,1659009865
athabasca,CA,60.69,92,0,4.79,54.7169,-113.2854,1659009865
kiama,AU,55.99,86,62,8.95,-34.6833,150.8667,1659009865
bethel,US,75.29,88,75,1.01,41.3712,-73.414,1659009866
yulara,AU,55.58,20,71,9.46,-25.2406,130.9889,1659009866
cidreira,BR,64.81,82,99,4.85,-30.1811,-50.2056,1659009866
cortez,US,60.93,85,0,4.61,37.3489,-108.5859,1659009866
roma,US,73.87,85,75,3.44,43.2128,-75.4557,1659009866
fairbanks,US,46.24,85,37,1.01,64.8378,-147.7164,1659009840
meiganga,CM,72.66,89,97,5.35,6.5167,14.3,1659009867
verkhnyaya inta,RU,77.95,33,83,10.65,65.9811,60.3094,1659009867
qiongshan,CN,84.92,70,14,3.2,20.0058,110.3542,1659009867
cabo san lucas,MX,81.52,80,20,2.3,22.8909,-109.9124,1659009867
gisborne,NZ,54.39,72,31,12.73,-38.6533,178.0042,1659009868
barcelos,PT,80.92,52,23,11.23,41.5388,-8.6151,1659009868
cordoba,AR,51.76,52,0,12.66,-31.4135,-64.1811,1659009580
bytow,PL,64.2,56,78,7.72,54.1706,17.4919,1659009868
orodara,BF,82.58,59,79,9.35,10.9492,-4.9342,1659009868
quatre cocos,MU,74.08,74,22,11.34,-20.2078,57.7625,1659009868
mao,ES,86.56,58,20,11.5,39.8885,4.2658,1659009776
adwa,ET,70.05,68,92,5.7,14.1646,38.8955,1659009869
omsukchan,RU,50.72,55,100,2.84,62.5333,155.8,1659009869
ilhabela,BR,73.63,58,29,3.15,-23.7781,-45.3581,1659009869
mezhdurechensk,RU,77.25,59,18,3.22,53.6942,88.0603,1659009869
barahona,DO,78.62,89,20,0.0,18.2085,-71.1008,1659009870
bambous virieux,MU,74.21,74,22,11.27,-20.3428,57.7575,1659009870
anaconda,US,50.99,73,1,1.79,46.1285,-112.9423,1659009870
primo tapia,MX,65.84,76,57,5.23,32.22,-116.9172,1659009870
matagami,CA,60.91,94,100,5.75,49.7502,-77.6328,1659009870
hobyo,SO,82.09,62,78,27.56,5.3505,48.5268,1659009870
port-cartier,CA,65.75,77,38,7.43,50.0334,-66.8654,1659009870
tautira,PF,77.67,76,27,25.52,-17.7333,-149.15,1659009870
anito,PH,81.72,83,100,7.99,12.4497,125.2886,1659009871
ballina,AU,51.01,97,47,0.69,-28.8667,153.5667,1659009871
andros town,BS,82.4,72,1,15.46,24.7,-77.7667,1659009871
metro,ID,78.06,84,100,4.59,-5.1131,105.3067,1659009871
ukholovo,RU,83.61,43,6,8.01,53.7929,40.4892,1659009871
phetchabun,TH,82.24,81,60,2.19,16.25,101.0833,1659009871
worland,US,66.6,63,0,0.0,44.0169,-107.9554,1659009787
labuhan,ID,81.23,75,63,10.94,-6.8844,112.2051,1659009872
sokoni,TZ,76.39,77,57,17.36,-6.4333,39.55,1659009872
coolum beach,AU,51.12,93,2,2.71,-26.5333,153.1,1659009872
chipata,ZM,77.83,25,35,5.53,-13.6333,32.65,1659009872
faanui,PF,78.94,74,15,24.56,-16.4833,-151.75,1659009872
namtsy,RU,76.08,57,27,2.46,62.7161,129.6658,1659009795
buchanan,LR,76.71,77,100,9.95,5.8808,-10.0467,1659009873
arlit,NE,100.94,24,44,11.43,18.7369,7.3853,1659009873
praia,CV,82.53,73,76,9.71,14.9215,-23.5087,1659009631
lovozero,RU,52.66,88,95,14.29,68.005,35.0117,1659009726
turiacu,BR,82.0,73,56,4.16,-1.6633,-45.3717,1659009873
klaksvik,FO,54.52,82,89,18.12,62.2266,-6.589,1659009874
tombouctou,ML,105.84,11,42,13.91,20.0,-3.0,1659009874
ostrovnoy,RU,68.67,56,26,15.7,68.0531,39.5131,1659009874
belaya gora,RU,52.68,50,98,12.41,68.5333,146.4167,1659009874
takoradi,GH,79.84,69,73,14.67,4.8845,-1.7554,1659009874
barranca,PE,60.4,84,95,7.4,-10.75,-77.7667,1659009874
ilulissat,GL,48.22,71,0,4.61,69.2167,-51.1,1659009875
bucerias,MX,79.99,100,75,3.44,20.75,-105.3333,1659009875
saint-joseph,RE,75.58,77,35,9.08,-21.3667,55.6167,1659009875
sur,OM,89.67,55,88,21.59,22.5667,59.5289,1659009875
chegdomyn,RU,71.08,83,92,4.74,51.1167,133.0167,1659009875
the pas,CA,50.7,78,7,6.8,53.8251,-101.2541,1659009875
ahuimanu,US,76.75,77,40,8.05,21.4447,-157.8378,1659009876
kosino,RU,75.74,47,7,5.08,58.4127,51.2782,1659009876
matay,EG,102.43,11,1,11.7,28.419,30.7792,1659009876
morehead,US,74.95,97,0,0.0,37.2711,-87.1764,1659009876
tonder,DK,67.21,61,100,1.01,54.9331,8.8667,1659009692
clyde river,CA,37.63,100,100,14.97,70.4692,-68.5914,1659009876
lazaro cardenas,MX,75.49,90,100,2.59,17.9583,-102.2,1659009877
ossora,RU,51.01,79,98,3.13,59.2353,163.0719,1659009877
alta,NO,52.86,71,75,11.5,69.9689,23.2717,1659009877
erenhot,CN,84.92,21,50,17.67,43.6475,111.9767,1659009877
morondava,MG,75.94,59,0,10.67,-20.2833,44.2833,1659009877
salekhard,RU,78.62,35,55,6.42,66.53,66.6019,1659009877
lata,PT,82.49,42,2,10.0,40.1629,-8.3327,1659009878
cururupu,BR,80.33,86,42,3.69,-1.8283,-44.8683,1659009878
usinsk,RU,78.35,33,91,14.14,65.9939,57.5281,1659009660
broome,US,74.62,89,4,1.01,42.2506,-75.833,1659009878
kherson,UA,92.93,24,16,10.63,46.6558,32.6178,1659009586
margate,GB,71.31,68,100,5.01,51.3813,1.3862,1659009878
santa vitoria do palmar,BR,60.94,98,100,3.89,-33.5189,-53.3681,1659009878
tucuman,AR,53.6,100,100,9.22,-26.8241,-65.2226,1659009879
akureyri,IS,56.77,56,91,18.43,65.6835,-18.0878,1659009795
kismayo,SO,79.66,63,73,17.07,-0.3582,42.5454,1659009879
bulaevo,KZ,69.96,69,100,11.48,54.9056,70.4439,1659009879
mirnyy,RU,77.38,53,0,8.16,62.5353,113.9611,1659009612
wajid,SO,89.96,30,80,21.18,3.8093,43.2471,1659009880
laranjeiras,BR,76.62,81,50,6.55,-10.8064,-37.17,1659009880
